X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	Rho	KR	Rho_real
-9000	-9000	0.1	-2.34E-05	2.68E-06	0.0189711	-0.0200311	-0.0190007	0.0200364	3.07E-05	8.92E-06	9.64854	1.000459348	9.64411
-8000	-9000	0.1	-4.02E-06	2.64E-06	0.0189062	-0.0200116	-0.0189834	0.0200206	9.88E-06	-2.72E-06	9.61982	0.997481364	9.64411
-7000	-9000	0.1	-8.52E-06	3.09E-05	0.0221466	-0.0241248	-0.0221975	0.0241369	5.15E-06	-2.26E-05	13.601	1.410290841	9.64411
-6000	-9000	0.1	-9.76E-06	3.33E-05	0.0221437	-0.0241188	-0.0221826	0.0241366	5.20E-06	-2.50E-05	13.5941	1.408906287	9.64869
-5000	-9000	0.1	-3.74E-06	4.18E-06	0.0189078	-0.0200072	-0.0190025	0.0200372	1.07E-05	-1.04E-05	9.62784	0.998037685	9.64677
-4000	-9000	0.1	-6.88E-06	6.81E-06	0.0189915	-0.0200259	-0.0189813	0.0200424	9.85E-06	-1.13E-05	9.64894	1.000329679	9.64576
-3000	-9000	0.1	1.87E-06	9.03E-06	0.0189811	-0.0200258	-0.0191332	0.0200377	5.65E-06	-2.13E-05	9.68179	1.003903925	9.64414
-2000	-9000	0.1	1.25E-05	4.23E-06	0.0188495	-0.0199884	-0.0189762	0.0200287	-2.69E-06	-1.39E-05	9.60064	0.995016956	9.64872
-1000	-9000	0.1	2.00E-05	-4.82E-06	0.0253177	-0.0282339	-0.0318387	0.0353111	-1.90E-05	-9.88E-06	22.836	2.367173044	9.64695
0	-9000	0.1	1.70E-06	7.70E-06	0.0253192	-0.0282117	-0.0317978	0.03529	-2.19E-05	2.92E-06	22.806	2.364026495	9.6471
1000	-9000	0.1	1.64E-06	-1.47E-05	0.0188655	-0.0199201	-0.0189301	0.0200966	-2.77E-06	4.49E-06	9.59329	0.994453083	9.6468
2000	-9000	0.1	-7.97E-08	-1.27E-05	0.028306	-0.0268036	-0.0180938	0.0194143	3.07E-07	1.16E-05	13.1028	1.358209868	9.64711
3000	-9000	0.1	-6.44E-07	-4.94E-06	0.0087623	-0.00695952	-0.0153416	0.0101877	-1.49E-06	8.98E-06	2.60996	0.270639143	9.64369
4000	-9000	0.1	2.46E-06	-7.94E-06	0.0192695	-0.0199784	-0.0187597	0.0200123	3.07E-06	1.43E-05	9.64301	0.999745994	9.64546
5000	-9000	0.1	-3.42E-06	-1.76E-05	0.0188012	-0.0199696	-0.0190116	0.0200674	3.26E-05	1.62E-05	9.6025	0.995441856	9.64647
6000	-9000	0.1	-0.000138934	3.51E-05	0.0268366	-0.0302482	-0.0268319	0.0302368	5.24E-05	-1.84E-05	20.7035	2.146719548	9.64425
7000	-9000	0.1	-0.000127476	1.23E-05	0.0267099	-0.0301284	-0.0349413	0.0386759	-3.79E-05	1.54E-05	26.5793	2.756013774	9.64411
8000	-9000	0.1	6.16E-08	-9.43E-06	0.0186623	-0.0199293	-0.0190079	0.020056	4.39E-07	3.96E-06	9.55518	0.990778828	9.64411
9000	-9000	0.1	6.16E-06	-6.19E-06	0.0253014	-0.0282604	-0.0320282	0.0353174	-3.58E-07	-8.00E-07	22.9047	2.375030589	9.64396
-9000	-7500	0.1	5.17E-06	-1.68E-06	0.0125877	-0.0130936	-0.0158361	0.0158216	-2.35E-07	-1.45E-06	5.14945	0.533955968	9.64396
-8000	-7500	0.1	1.60E-05	6.74E-06	0.0190594	-0.0200496	-0.018975	0.0200073	-1.10E-05	-9.33E-06	9.66085	1.001721233	9.64425
-7000	-7500	0.1	-1.93E-07	1.76E-05	0.0189962	-0.0200395	-0.0189795	0.0200433	4.27E-06	-8.66E-06	9.65332	1.000019683	9.65313
-6000	-7500	0.1	5.63E-06	1.19E-05	0.0190026	-0.0200298	-0.0189045	0.0200122	-3.94E-06	-1.93E-05	9.62649	0.99766815	9.64899
-5000	-7500	0.1	1.59E-05	1.67E-05	0.0189997	-0.0200267	-0.018974	0.0200678	-9.68E-06	-2.42E-05	9.65582	1.000755556	9.64853
-4000	-7500	0.1	-1.60E-05	1.57E-05	0.0191181	-0.0200209	-0.0189103	0.0200015	-2.95E-06	-2.82E-05	9.65067	1.000127469	9.64944
-3000	-7500	0.1	3.41E-06	2.49E-06	0.00867179	-0.00897975	-0.0188265	0.0166658	-7.36E-06	-3.21E-05	3.97527	0.412122312	9.64585
-2000	-7500	0.1	7.89E-07	3.55E-05	0.0191462	-0.0199847	-0.0189357	0.0200447	-7.57E-06	-2.55E-05	9.66545	1.001938477	9.64675
-1000	-7500	0.1	-6.17E-07	1.60E-05	0.0190433	-0.019954	-0.0189785	0.0200949	2.01E-05	-9.33E-06	9.65588	1.001067847	9.64558
0	-7500	0.1	1.93E-05	-1.63E-05	0.0190385	-0.0199523	-0.018969	0.0200589	-1.65E-05	3.81E-06	9.64286	0.999781233	9.64497
1000	-7500	0.1	-2.17E-06	-2.00E-06	0.0190077	-0.0199535	-0.0191116	0.0201142	7.44E-06	7.07E-06	9.68399	1.003844758	9.6469
2000	-7500	0.1	6.77E-05	3.33E-05	0.0189808	-0.019979	-0.0189738	0.0199895	-6.29E-05	-1.00E-05	9.61933	0.997449173	9.64393
3000	-7500	0.1	-6.84E-05	-3.82E-05	0.0188845	-0.0199983	-0.0192746	0.0200019	0.000171069	6.02E-05	9.67675	1.003538454	9.64263
4000	-7500	0.1	-2.56E-05	-6.11E-05	0.018931	-0.0199882	-0.0223102	0.0230077	4.14E-05	6.88E-05	11.1745	1.157780112	9.65166
5000	-7500	0.1	-7.70E-06	-7.01E-06	0.0189598	-0.0200136	-0.0190688	0.0200702	-7.56E-06	2.13E-05	9.66629	1.001625806	9.6506
6000	-7500	0.1	3.27E-05	-9.60E-06	0.0189804	-0.0200276	-0.0190524	0.0200527	-2.53E-05	1.07E-05	9.66641	1.001533423	9.65161
7000	-7500	0.1	4.16E-05	2.83E-06	0.0190092	-0.0200418	-0.0189302	0.0200414	-3.22E-05	-1.62E-06	9.64472	1.000048734	9.64425
