X	Y	T	realZxx	imagZxx	realZxy	imagZxy	realZyx	imagZyx	realZyy	imagZyy	Rho	KR	Rho_real
-142000	-142000	0.1	-5.28E-08	-3.84E-08	0.0241942	-0.0217771	-0.0241911	0.0217749	2.15E-07	-1.51E-07	13.4184	0.996442972	13.4663
-122000	-142000	0.1	3.79E-08	-9.42E-08	0.0241955	-0.0217764	-0.0241897	0.0217756	8.19E-08	-3.08E-08	13.4184	0.996442972	13.4663
-102000	-142000	0.1	-3.35E-05	1.61E-05	0.0388564	-0.0354543	-0.0388579	0.0354499	3.28E-05	-1.41E-05	35.041	2.602125305	13.4663
-82000	-142000	0.1	1.11E-07	2.81E-08	0.024194	-0.0217808	-0.0241913	0.0217712	-1.47E-07	-1.66E-08	13.4184	0.996442972	13.4663
-62000	-142000	0.1	-5.84E-06	0.000115674	0.0463689	-0.0426652	-0.0352065	0.0333943	4.33E-06	-1.45E-05	38.7251	2.875704537	13.4663
-42000	-142000	0.1	3.46E-05	-1.03E-05	0.0242016	-0.0217639	-0.024198	0.0217699	-3.75E-05	8.72E-06	13.4178	0.996413215	13.4661
-22000	-142000	0.1	-3.57E-06	5.36E-07	0.0242123	-0.02177	-0.0126673	0.0116094	7.29E-06	-9.79E-07	7.08572	0.526189468	13.4661
-2000	-142000	0.1	7.65E-05	6.83E-05	0.0354162	-0.0324748	-0.035425	0.0323659	1.01E-05	5.30E-05	29.2019	2.168516965	13.4663
18000	-142000	0.1	-3.34E-08	1.25E-07	0.0241987	-0.0217846	-0.0241897	0.0217756	-1.17E-07	3.77E-08	13.4216	0.996695405	13.4661
38000	-142000	0.1	-3.45E-05	-8.82E-05	0.0350441	-0.0329385	-0.0463251	0.0426076	6.31E-05	8.12E-06	38.3378	2.846986136	13.4661
58000	-142000	0.1	1.33E-07	5.63E-08	0.0241962	-0.0217823	-0.0241897	0.0217756	-2.55E-08	1.59E-07	13.4203	0.996598867	13.4661
78000	-142000	0.1	8.26E-08	9.33E-09	0.0241962	-0.0217823	-0.0241897	0.0217756	-4.80E-08	9.80E-08	13.4203	0.996532264	13.467
98000	-142000	0.1	2.66E-09	-1.18E-07	0.0241962	-0.0217823	-0.0241897	0.0217756	-2.95E-08	1.47E-08	13.4203	0.996532264	13.467
118000	-142000	0.1	-3.82E-06	-2.55E-05	0.0126705	-0.0116132	-0.0241952	0.0217974	3.19E-05	-1.54E-05	7.08901	0.526398604	13.467
138000	-142000	0.1	-1.98E-07	1.53E-07	0.024196	-0.021786	-0.0241913	0.0217712	1.20E-07	-5.71E-07	13.4205	0.996598917	13.4663
-142000	-122000	0.1	-0.000723244	4.78E-05	0.0351812	-0.0335846	-0.036565	0.0357408	-0.000149652	-0.000160971	31.4958	2.338426586	13.4688
-122000	-122000	0.1	-9.10E-08	-2.11E-07	0.0241937	-0.0217787	-0.0241897	0.0217756	3.99E-07	-1.40E-07	13.4185	0.995880956	13.474
-102000	-122000	0.1	-0.000951568	0.000305956	0.0476506	-0.0446579	-0.0355001	0.0311986	0.000147633	-0.000100357	39.0883	2.901016773	13.474
-82000	-122000	0.1	-4.14E-05	-9.21E-05	0.0350203	-0.0329253	-0.0464233	0.0426118	-9.27E-06	-8.34E-06	38.3625	2.847150067	13.474
-62000	-122000	0.1	1.25E-07	2.19E-07	0.0241957	-0.021778	-0.0241716	0.0217715	-4.57E-07	4.87E-07	13.4122	0.995428164	13.4738
-42000	-122000	0.1	4.74E-07	-2.82E-07	0.0241897	-0.0217697	-0.0241911	0.0217749	-4.01E-07	1.02E-06	13.415	0.995990794	13.469
-22000	-122000	0.1	6.39E-08	-8.39E-07	0.0241586	-0.0217536	-0.0241946	0.0217697	2.71E-07	2.19E-06	13.4007	0.995091633	13.4668
